Time,Address,X,Y,Z,Quality
999.999,12,-0.0,-0.022,0.067,81
1000.201,12,-0.006,0.03,0.055,87
1000.401,12,-0.003,0.014,0.063,84
1000.597,12,0.028,-0.005,0.032,84
1000.802,12,0.023,0.012,0.046,84
1000.998,12,0.021,-0.027,0.135,87
1001.204,12,-0.012,-0.006,0.191,82
1001.401,12,-0.019,0.021,0.259,82
1001.605,12,0.013,0.026,0.333,80
1001.799,12,0.004,0.004,0.332,91
1001.997,12,0.008,-0.006,0.353,87
1002.202,12,0.009,-0.02,0.506,79
1002.402,12,0.037,0.015,0.488,78
1002.602,12,0.002,-0.02,0.554,88
1002.798,12,-0.018,-0.002,0.638,86
1002.997,12,-0.001,0.006,0.663,78
1003.202,12,0.023,0.021,0.735,77
1003.396,12,0.009,-0.013,0.787,76
1003.599,12,-0.001,0.019,0.864,91
1003.799,12,0.006,0.006,0.891,91
1004.005,12,-0.057,-0.029,0.973,89
1004.198,12,-0.016,-0.019,0.996,82
1004.403,12,0.004,0.021,1.152,81
1004.601,12,0.011,-0.015,1.186,81
1004.8,12,-0.037,0.018,1.257,72
1005.0,12,-0.017,0.006,1.3,90
1005.202,12,0.021,0.036,1.344,90
1005.404,12,0.031,-0.024,1.413,82
1005.601,12,0.075,0.004,1.364,80
1005.799,12,0.182,-0.003,1.465,89
1005.996,12,0.212,-0.03,1.446,82
1006.196,12,0.309,0.024,1.468,87
1006.398,12,0.405,-0.006,1.525,78
1006.603,12,0.447,-0.004,1.454,94
1006.803,12,0.549,0.038,1.543,82
1006.995,12,0.694,-0.017,1.528,72
1007.202,12,0.778,0.001,1.54,89
1007.397,12,0.887,0.015,1.565,91
1007.602,12,0.983,-0.005,1.55,82
1007.797,12,1.035,-0.032,1.57,95
1008.0,12,1.139,0.006,1.521,93
1008.201,12,1.256,0.026,1.584,88
1008.403,12,1.351,0.01,1.544,85
1008.601,12,1.463,-0.02,1.583,90
1008.799,12,1.56,-0.015,1.594,86
1009.005,12,1.644,-0.026,1.561,89
1009.2,12,1.756,0.016,1.561,83
1009.398,12,1.873,0.008,1.547,84
1009.597,12,1.947,0.029,1.518,85
1009.801,12,2.076,-0.013,1.6,90
1009.998,12,2.141,0.018,1.598,83
1010.204,12,2.214,-0.035,1.567,81
1010.402,12,2.327,-0.021,1.606,91
1010.602,12,2.439,-0.014,1.568,81
1010.798,12,2.528,-0.011,1.56,94
1010.997,12,2.684,0.027,1.591,84
1011.196,12,2.774,0.014,1.585,82
1011.404,12,2.85,-0.003,1.643,81
1011.601,12,2.97,-0.008,1.563,87
1011.801,12,3.032,0.003,1.611,85
1012.002,12,3.157,-0.017,1.602,82
1012.199,12,3.266,-0.041,1.565,90
1012.4,12,3.328,-0.01,1.591,86
1012.598,12,3.435,0.0,1.514,86
1012.796,12,3.552,-0.017,1.648,89
1013.002,12,3.618,-0.027,1.571,91
1013.205,12,3.756,-0.011,1.602,90
1013.398,12,3.816,0.06,1.557,85
1013.597,12,3.841,0.104,1.587,86
1013.8,12,3.864,0.183,1.604,93
1013.997,12,3.927,0.259,1.573,78
1014.196,12,3.917,0.356,1.531,90
1014.397,12,3.972,0.436,1.596,90
1014.604,12,3.97,0.553,1.569,82
1014.805,12,3.991,0.594,1.578,77
1014.998,12,3.997,0.69,1.576,87
1015.199,12,4.007,0.76,1.59,83
1015.403,12,3.992,0.9,1.63,88
1015.595,12,4.009,0.956,1.62,75
1015.799,12,3.957,1.042,1.617,90
1016.002,12,4.01,1.187,1.629,93
1016.202,12,3.992,1.233,1.536,80
1016.402,12,4.007,1.364,1.647,80
1016.596,12,3.993,1.472,1.644,94
1016.799,12,4.016,1.599,1.61,89
1017.002,12,3.985,1.627,1.575,86
1017.205,12,4.018,1.745,1.604,90
1017.4,12,4.007,1.849,1.56,83
1017.601,12,3.995,1.949,1.556,82
1017.804,12,4.01,2.025,1.54,93
1017.997,12,3.978,2.115,1.55,83
1018.202,12,3.946,2.221,1.53,88
1018.397,12,3.966,2.349,1.574,82
1018.599,12,3.996,2.426,1.57,75
1018.801,12,4.011,2.525,1.561,90
1018.997,12,4.0,2.651,1.523,90
1019.201,12,3.988,2.733,1.53,81
1019.398,12,3.987,2.841,1.541,96
1019.598,12,3.994,2.923,1.493,94
1019.802,12,4.018,3.082,1.516,82
1020.004,12,3.992,3.142,1.523,84
1020.2,12,4.0,3.299,1.506,88
1020.397,12,3.998,3.361,1.54,87
1020.6,12,3.992,3.435,1.503,81
1020.803,12,4.004,3.549,1.554,86
1020.997,12,4.013,3.676,1.529,87
1021.197,12,3.952,3.719,1.484,73
1021.404,12,3.946,3.8,1.459,85
1021.602,12,3.903,3.823,1.5,86
1021.802,12,3.857,3.885,1.487,80
1022.004,12,3.803,3.911,1.453,84
1022.202,12,3.661,3.919,1.481,89
1022.397,12,3.583,3.965,1.448,81
1022.605,12,3.486,3.947,1.474,76
1022.805,12,3.414,3.979,1.473,77
1022.996,12,3.366,4.013,1.467,84
1023.202,12,3.251,3.986,1.431,92
1023.397,12,3.155,3.955,1.541,93
1023.598,12,3.029,3.979,1.437,77
1023.802,12,2.932,3.949,1.488,82
1023.995,12,2.826,3.972,1.416,84
1024.201,12,2.753,4.02,1.442,88
1024.405,12,2.683,4.022,1.428,82
1024.601,12,2.527,4.016,1.431,87
1024.798,12,2.455,4.01,1.432,79
1025.005,12,2.342,3.98,1.466,78
1025.198,12,2.261,4.012,1.401,80
1025.398,12,2.163,3.98,1.396,86
1025.598,12,2.08,4.04,1.441,86
1025.799,12,1.912,4.011,1.382,82
1025.997,12,1.864,4.029,1.408,81
1026.196,12,1.714,3.994,1.377,88
1026.402,12,1.648,3.991,1.453,82
1026.596,12,1.504,3.986,1.394,81
1026.8,12,1.436,3.997,1.417,90
1026.997,12,1.387,3.999,1.347,83
1027.204,12,1.247,3.991,1.432,76
1027.4,12,1.145,4.025,1.36,87
1027.601,12,1.004,4.011,1.438,92
1027.802,12,0.937,4.01,1.394,84
1028.003,12,0.891,4.02,1.41,88
1028.205,12,0.754,4.032,1.407,86
1028.397,12,0.654,4.002,1.416,94
1028.599,12,0.598,3.995,1.425,76
1028.799,12,0.431,4.007,1.352,83
1028.999,12,0.381,4.02,1.406,89
1029.202,12,0.244,4.026,1.46,86
1029.401,12,0.183,3.931,1.385,89
1029.603,12,0.146,3.886,1.413,85
1029.803,12,0.096,3.85,1.404,87
1030.004,12,0.091,3.786,1.445,87
1030.204,12,0.072,3.671,1.422,89
1030.404,12,0.048,3.618,1.373,88
1030.596,12,0.032,3.5,1.406,86
1030.798,12,0.032,3.41,1.377,88
1030.999,12,0.024,3.344,1.352,90
1031.196,12,0.021,3.235,1.45,83
1031.403,12,0.003,3.136,1.441,81
1031.596,12,0.002,3.034,1.416,91
1031.801,12,-0.018,2.953,1.441,81
1031.998,12,0.008,2.826,1.442,88
1032.196,12,0.009,2.734,1.39,96
1032.403,12,0.013,2.646,1.458,87
1032.601,12,-0.021,2.497,1.45,88
1032.797,12,-0.002,2.424,1.428,96
1033.004,12,-0.006,2.332,1.467,83
1033.201,12,-0.033,2.21,1.384,86
1033.401,12,0.008,2.085,1.46,90
1033.595,12,0.007,2.047,1.461,89
1033.795,12,0.016,1.939,1.462,87
1033.996,12,0.039,1.842,1.457,74
1034.199,12,0.015,1.756,1.468,83
1034.401,12,0.004,1.637,1.475,87
1034.6,12,0.02,1.554,1.443,87
1034.803,12,-0.019,1.419,1.49,83
1034.997,12,0.021,1.337,1.53,87
1035.2,12,-0.01,1.218,1.471,82
1035.403,12,0.006,1.152,1.493,95
1035.596,12,-0.029,1.058,1.48,87
1035.8,12,-0.027,0.954,1.507,82
1035.998,12,0.018,0.843,1.579,81
1036.205,12,0.021,0.766,1.464,87
1036.396,12,-0.043,0.65,1.54,88
1036.599,12,0.025,0.531,1.571,87
1036.796,12,-0.026,0.435,1.5,89
1036.999,12,0.014,0.342,1.564,72
1037.203,12,0.003,0.299,1.534,86
1037.396,12,0.044,0.204,1.558,91
1037.599,12,0.096,0.141,1.568,91
1037.803,12,0.195,0.147,1.504,86
1037.997,12,0.249,0.105,1.499,82
1038.204,12,0.33,0.083,1.606,82
1038.396,12,0.382,0.053,1.631,92
1038.597,12,0.474,0.031,1.542,83
1038.803,12,0.552,0.049,1.633,83
1038.997,12,0.687,0.043,1.521,72
1039.196,12,0.763,0.003,1.529,78
